,Date,HEI US Equity,HEI/A US Equity,HEI US Equity / HEI/A US Equity,SMA_21,SMA_50,SMA_120
4260,2015-03-18,30.6893,24.4429,1.2556,1.290266667,1.292876,1.231325
4261,2015-03-19,30.6381,24.5402,1.2485,1.286719048,1.291808,1.231921667
4262,2015-03-20,30.6381,24.7501,1.2379,1.282466667,1.290278,1.2322950000000001
4263,2015-03-23,30.4384,24.5504,1.2398,1.2781714290000001,1.289132,1.232738333
4264,2015-03-24,31.3088,25.471999999999998,1.2291,1.272838095,1.287862,1.2333241670000001
4265,2015-03-25,30.7046,24.9242,1.2319,1.266780952,1.286734,1.2338116670000001
4266,2015-03-26,30.8173,25.1597,1.2249,1.26252381,1.285806,1.2341825000000002
4267,2015-03-27,31.063000000000002,25.4566,1.2202,1.25847619,1.2849059999999999,1.234486667
4268,2015-03-30,31.2832,25.2262,1.2401,1.2557,1.2841879999999999,1.23502
4269,2015-03-31,31.2678,25.3645,1.2327,1.252757143,1.283424,1.235655
4270,2015-04-01,31.0528,24.9498,1.2446,1.251028571,1.2828899999999999,1.236325
4271,2015-04-02,31.063000000000002,24.8422,1.2504,1.2494904759999999,1.28213,1.237189167
4272,2015-04-06,31.1296,24.8115,1.2546,1.248671429,1.281406,1.238029167
4273,2015-04-07,30.8531,24.5914,1.2546,1.24827619,1.280706,1.238809167
4274,2015-04-08,31.1347,24.831999999999997,1.2538,1.247252381,1.280032,1.239526667
4275,2015-04-09,30.8941,24.8832,1.2416,1.246380952,1.278884,1.240054167
4276,2015-04-10,30.8378,24.7808,1.2444,1.2451809520000001,1.277858,1.240773333
4277,2015-04-13,30.8173,24.7706,1.2441,1.244390476,1.27667,1.241585833
4278,2015-04-14,30.9862,25.2416,1.2276,1.242747619,1.2754940000000001,1.242250833
4279,2015-04-15,31.2883,25.8202,1.2118,1.240395238,1.2737399999999999,1.2428275
4280,2015-04-16,31.0835,25.4106,1.2233,1.238642857,1.271898,1.24353
4281,2015-04-17,30.0134,24.576,1.2213,1.237009524,1.270356,1.2441375
4282,2015-04-20,30.4538,24.5402,1.2409999999999999,1.2366523809999999,1.268866,1.2450225000000001
4283,2015-04-21,30.3821,24.5248,1.2388,1.236695238,1.2676319999999999,1.245880833
4284,2015-04-22,30.208000000000002,24.4787,1.2341,1.23642381,1.266464,1.2465283329999999
4285,2015-04-23,30.039,24.5197,1.2251,1.236233333,1.264828,1.247213333
4286,2015-04-24,30.0032,24.4685,1.2262,1.235961905,1.263408,1.2478833329999999
4287,2015-04-27,29.824,24.3968,1.2225,1.235847619,1.2619,1.248190833
4288,2015-04-28,29.9213,24.616999999999997,1.2155,1.23562381,1.259894,1.248483333
4289,2015-04-29,29.6858,24.191999999999997,1.2271,1.235004762,1.258062,1.248781667
4290,2015-04-30,28.5901,23.4854,1.2174,1.23427619,1.25595,1.249168333
4291,2015-05-01,28.8922,23.7261,1.2177,1.232995238,1.25376,1.249556667
4292,2015-05-04,28.6771,23.8234,1.2037,1.230771429,1.251234,1.2498375
4293,2015-05-05,28.3034,23.6954,1.1945,1.227909524,1.248302,1.2498308329999999
4294,2015-05-06,28.3853,23.7722,1.1941,1.225028571,1.245002,1.2500341670000001
4295,2015-05-07,28.3597,23.767,1.1932,1.2221428570000001,1.24258,1.2501708329999999
4296,2015-05-08,28.3546,23.7056,1.1961,1.21997619,1.240398,1.250324167
4297,2015-05-11,28.5798,23.7824,1.2017,1.217942857,1.238464,1.250704167
4298,2015-05-12,28.503,24.4531,1.1656,1.214204762,1.235886,1.2508325
4299,2015-05-13,28.6515,24.2893,1.1796,1.211919048,1.23386,1.2510033329999999
4300,2015-05-14,28.9741,24.448,1.1851,1.210647619,1.231908,1.2513524999999999
4301,2015-05-15,28.671999999999997,24.4736,1.1715,1.208180952,1.229902,1.251453333
4302,2015-05-18,29.0662,24.7808,1.1729,1.20587619,1.228102,1.251731667
4303,2015-05-19,29.7216,25.7536,1.1541,1.201738095,1.225678,1.251706667
4304,2015-05-20,31.2064,26.1478,1.1935,1.199580952,1.22435,1.251909167
4305,2015-05-21,31.2781,26.5677,1.1773,1.19687619,1.222504,1.2519125
4306,2015-05-22,30.8326,26.4806,1.1643,1.193980952,1.220576,1.2518525
4307,2015-05-26,30.4896,26.112,1.1676,1.1911904759999998,1.2186860000000002,1.2517425
4308,2015-05-27,30.2541,25.897,1.1682,1.188604762,1.216826,1.251491667
4309,2015-05-28,30.336,26.1837,1.1586,1.185895238,1.214796,1.251051667
4310,2015-05-29,29.3376,25.6,1.146,1.182033333,1.212604,1.250578333
4311,2015-06-01,29.5834,25.6,1.1556,1.1790904759999998,1.2107459999999999,1.2499641670000001
4312,2015-06-02,29.5629,25.3952,1.1641,1.176538095,1.20927,1.249529167
4313,2015-06-03,29.8701,25.5846,1.1675,1.174814286,1.207824,1.249089167
4314,2015-06-04,29.225,25.256999999999998,1.1571,1.173033333,1.2063840000000001,1.248659167
4315,2015-06-05,29.7318,25.088,1.1851,1.172604762,1.2054479999999999,1.248409167
4316,2015-06-08,29.6704,24.9088,1.1912,1.172509524,1.204774,1.248220833
4317,2015-06-09,29.3069,24.616999999999997,1.1905,1.172242857,1.20418,1.248029167
4318,2015-06-10,29.7011,24.8525,1.1951,1.171928571,1.20328,1.247796667
4319,2015-06-11,29.9059,24.6733,1.2121,1.174142857,1.202868,1.247645833
4320,2015-06-12,29.6397,24.831999999999997,1.1936,1.174809524,1.201848,1.247350833
4321,2015-06-15,29.3939,24.9088,1.1801,1.174571429,1.200442,1.247029167
4322,2015-06-16,29.8701,25.2467,1.1831,1.17512381,1.1990120000000002,1.246496667
4323,2015-06-17,29.7677,25.1136,1.1853,1.1757142859999998,1.197626,1.245979167
4324,2015-06-18,29.8752,25.2365,1.1838,1.177128571,1.196226,1.245331667
4325,2015-06-19,30.1158,25.2006,1.195,1.1772,1.195294,1.244825
4326,2015-06-22,30.9402,25.8458,1.1971,1.178142857,1.194348,1.244265
4327,2015-06-23,31.2371,25.9994,1.2015,1.179914286,1.193496,1.243779167
4328,2015-06-24,30.9606,25.9072,1.1951,1.18122381,1.1928459999999999,1.243110833
4329,2015-06-25,31.6416,26.8646,1.1778,1.181680952,1.192166,1.242408333
4330,2015-06-26,30.5869,26.3424,1.1611,1.1818,1.190922,1.241215
4331,2015-06-29,29.9366,25.6512,1.1671,1.182804762,1.189838,1.240091667
4332,2015-06-30,29.8496,25.9942,1.1483,1.182457143,1.187984,1.2387075
4333,2015-07-01,29.951999999999998,25.7741,1.1621,1.182361905,1.18645,1.2375825
4334,2015-07-02,29.5014,24.9702,1.1815,1.183028571,1.185398,1.236656667
4335,2015-07-06,29.5629,24.9293,1.1859,1.1844,1.1846139999999998,1.235803333
4336,2015-07-07,29.4758,24.7552,1.1907,1.1846666670000001,1.183904,1.235131667
4337,2015-07-08,29.2608,24.7552,1.182,1.184228571,1.183094,1.234438333
4338,2015-07-09,29.1635,24.7091,1.1803,1.183742857,1.18239,1.233640833
4339,2015-07-10,29.3837,25.2723,1.1627,1.1822,1.181102,1.232739167
4340,2015-07-13,29.6038,25.2928,1.1704,1.180214286,1.1801620000000002,1.231898333
4341,2015-07-14,30.0288,25.344,1.1848,1.179795238,1.179504,1.231035
4342,2015-07-15,29.4502,25.5027,1.1548,1.1785904759999999,1.178526,1.229901667
4343,2015-07-16,29.655,25.3901,1.168,1.177871429,1.1779959999999998,1.228888333
4344,2015-07-17,29.9418,25.5437,1.1722,1.177247619,1.1775579999999999,1.2279275
4345,2015-07-20,30.0595,25.0573,1.1996,1.178,1.177686,1.227099167
4346,2015-07-21,28.9638,24.2739,1.1932,1.177914286,1.1776280000000001,1.226245
4347,2015-07-22,28.8512,24.1254,1.1959,1.177857143,1.1775120000000001,1.225348333
4348,2015-07-23,28.4826,23.7517,1.1992,1.177747619,1.1781840000000001,1.224621667
4349,2015-07-24,28.2266,23.5059,1.2008,1.178019048,1.178608,1.2237991670000001
4350,2015-07-27,27.7402,23.2909,1.1909999999999998,1.1786476190000001,1.178726,1.2227625
4351,2015-07-28,27.2435,22.7482,1.1976,1.180385714,1.1792479999999999,1.2219225
4352,2015-07-29,27.7453,23.0042,1.2061,1.182242857,1.179912,1.221010833
4353,2015-07-30,27.8886,23.04,1.2104,1.1852,1.1810379999999998,1.2202600000000001
4354,2015-07-31,28.073,23.2243,1.2088,1.18742381,1.181344,1.2195625
4355,2015-08-03,27.5917,22.7277,1.214,1.188971429,1.182078,1.218788333
4356,2015-08-04,27.5814,22.6611,1.2171,1.190457143,1.183134,1.218120833
4357,2015-08-05,27.607,22.615,1.2207,1.191885714,1.1841959999999998,1.2174775
