,Date,BF/A US Equity,BF/B US Equity,BF/A US Equity / BF/B US Equity,SMA_21,SMA_50,SMA_120
2528,1998-03-11,5.68,5.9867,0.9488,0.94782381,0.9470639999999999,0.957364167
2529,1998-03-12,5.7867,6.02,0.9612,0.948466667,0.94724,0.957321667
2530,1998-03-13,5.76,6.0067,0.9589,0.948814286,0.9472799999999999,0.9572424999999999
2531,1998-03-16,5.7867,6.08,0.9518,0.948504762,0.9472200000000001,0.9571049999999999
2532,1998-03-17,5.7867,6.0933,0.9497,0.948685714,0.947032,0.956969167
2533,1998-03-18,5.7667,6.0533,0.9526,0.948780952,0.9472280000000001,0.9567950000000001
2534,1998-03-19,5.7333,6.0867,0.9419,0.9485428570000001,0.9471719999999999,0.9565608329999999
2535,1998-03-20,5.8133,6.1133,0.9509,0.949109524,0.9472799999999999,0.956443333
2536,1998-03-23,5.84,6.16,0.9481,0.949133333,0.947484,0.9562450000000001
2537,1998-03-24,5.8,6.1533,0.9426,0.94927619,0.9473020000000001,0.955986667
2538,1998-03-25,5.76,6.0333,0.9547,0.949571429,0.947572,0.955833333
2539,1998-03-26,5.72,5.94,0.963,0.950342857,0.9478780000000001,0.955771667
2540,1998-03-27,5.6467,5.9133,0.9549,0.9506571429999999,0.9480280000000001,0.955661667
2541,1998-03-30,5.5867,5.86,0.9534,0.9510142859999999,0.948042,0.955568333
2542,1998-03-31,5.5467,5.8667,0.9455,0.950947619,0.948132,0.955470833
2543,1998-04-01,5.7067,6.1067,0.9345,0.9501285709999999,0.9479280000000001,0.9551533329999999
2544,1998-04-02,5.8333,6.2133,0.9388,0.949857143,0.947984,0.954901667
2545,1998-04-03,5.8533,6.1733,0.9482,0.949719048,0.9480799999999999,0.9547100000000001
2546,1998-04-06,5.7867,6.08,0.9518,0.9500190479999999,0.948132,0.954566667
2547,1998-04-07,5.6733,6.0733,0.9341,0.9489857140000001,0.9478340000000001,0.9543233329999999
2548,1998-04-08,5.5867,5.9733,0.9353,0.948604762,0.947592,0.954016667
2549,1998-04-09,5.6533,6.0533,0.9339,0.947895238,0.947422,0.953650833
2550,1998-04-13,5.5933,5.9867,0.9343,0.946614286,0.9472520000000001,0.9533925
2551,1998-04-14,5.7333,6.1133,0.9378,0.9456095240000001,0.9468780000000001,0.9531625
2552,1998-04-15,5.8333,6.2133,0.9388,0.944990476,0.946736,0.952938333
2553,1998-04-16,5.8133,6.1467,0.9458,0.9448047620000001,0.9467479999999999,0.952658333
2554,1998-04-17,5.8667,6.2533,0.9382,0.944119048,0.946744,0.952391667
2555,1998-04-20,5.8133,6.2,0.9376,0.9439142859999999,0.946592,0.9521508329999999
2556,1998-04-21,5.7867,6.16,0.9394,0.943366667,0.94655,0.951854167
2557,1998-04-22,5.8,6.16,0.9416,0.943057143,0.946472,0.9516433329999999
2558,1998-04-23,5.8,6.1333,0.9457,0.943204762,0.9464319999999999,0.951424167
2559,1998-04-24,5.7267,6.0533,0.946,0.942790476,0.94632,0.951154167
2560,1998-04-27,5.6,5.9733,0.9375,0.94157619,0.9459040000000001,0.9508983329999999
2561,1998-04-28,5.5267,5.8667,0.9420000000000001,0.940961905,0.9458260000000001,0.950725
2562,1998-04-29,5.5067,5.94,0.927,0.9397047620000001,0.9453540000000001,0.9503674999999999
2563,1998-04-30,5.6067,6.04,0.9283,0.9388857140000001,0.944982,0.950024167
2564,1998-05-01,5.6,6.0533,0.9251,0.938438095,0.9447040000000001,0.9496741670000001
2565,1998-05-04,5.6267,6.0533,0.9295,0.937995238,0.944342,0.9494049999999999
2566,1998-05-05,5.66,6.0,0.9433,0.937761905,0.944416,0.9492358329999999
2567,1998-05-06,5.66,5.9533,0.9507,0.9377095240000001,0.9444600000000001,0.949125833
2568,1998-05-07,5.5467,5.8867,0.9422,0.9380952379999999,0.944368,0.948866667
2569,1998-05-08,5.68,6.1067,0.9301,0.937847619,0.9440040000000001,0.948526667
2570,1998-05-11,5.7133,6.08,0.9397,0.93812381,0.9438799999999999,0.9483275
2571,1998-05-12,5.7133,6.08,0.9397,0.938380952,0.943736,0.94819
2572,1998-05-13,5.7067,6.16,0.9264,0.937838095,0.9432299999999999,0.947955833
2573,1998-05-14,5.72,6.1067,0.9367,0.937738095,0.943074,0.9477549999999999
