,Date,CRD/A US Equity,CRD/B US Equity,CRD/A US Equity / CRD/B US Equity,SMA_21,SMA_50,SMA_120
4319,2007-10-02,5.79,6.96,0.8319,0.8672,0.86718,0.917468333
4320,2007-10-03,5.51,6.45,0.8543,0.8675952379999999,0.865792,0.9166766670000001
4321,2007-10-04,5.56,6.6,0.8424,0.86822381,0.8648379999999999,0.915795
4322,2007-10-05,5.99,7.24,0.8273,0.8649095240000001,0.8635280000000001,0.9147924999999999
4323,2007-10-08,5.86,7.12,0.823,0.861166667,0.861368,0.913565
4324,2007-10-09,5.7,6.86,0.8309,0.8573666670000001,0.859168,0.912350833
4325,2007-10-10,5.65,6.84,0.826,0.854290476,0.8574,0.9111425
4326,2007-10-11,5.53,6.6,0.8379,0.851538095,0.8559260000000001,0.909894167
4327,2007-10-12,5.6425,6.89,0.8189,0.8477904759999999,0.853902,0.9085966670000001
4328,2007-10-15,5.65,6.73,0.8395,0.8443,0.8519100000000001,0.907308333
4329,2007-10-16,5.5499,6.61,0.8396,0.8407523809999999,0.8508760000000001,0.906255833
4330,2007-10-17,5.38,6.34,0.8486,0.840433333,0.849508,0.905098333
4331,2007-10-18,5.55,6.7,0.8284,0.83942381,0.8487239999999999,0.903694167
4332,2007-10-19,5.15,6.0,0.8583,0.8399523809999999,0.848298,0.902604167
4333,2007-10-22,5.6,6.57,0.8524,0.8401333329999999,0.849002,0.901575
4334,2007-10-23,5.58,6.42,0.8692,0.841252381,0.849334,0.900660833
4335,2007-10-24,5.55,6.44,0.8618,0.842014286,0.8493360000000001,0.8998649999999999
4336,2007-10-25,5.52,6.32,0.8734,0.843538095,0.84952,0.898998333
4337,2007-10-26,5.7,6.79,0.8395,0.843352381,0.849864,0.89794
4338,2007-10-29,5.72,6.72,0.8512,0.842557143,0.8506239999999999,0.897018333
4339,2007-10-30,5.4,6.46,0.8359,0.8424,0.8514280000000001,0.8958825
4340,2007-10-31,5.61,6.69,0.8386,0.842719048,0.852144,0.894906667
4341,2007-11-01,4.32,5.1,0.8471,0.84237619,0.852666,0.8940933329999999
4342,2007-11-02,4.11,4.94,0.8320000000000001,0.841880952,0.852668,0.893083333
4343,2007-11-05,4.2901,5.0,0.858,0.843342857,0.8538,0.8923625
4344,2007-11-06,4.7,5.32,0.8835,0.84622381,0.8548600000000001,0.891963333
4345,2007-11-07,4.18,4.65,0.8989,0.849461905,0.8557600000000001,0.891605
4346,2007-11-08,4.4,5.14,0.856,0.8508904759999999,0.856308,0.8910041670000001
4347,2007-11-09,4.24,4.91,0.8635,0.8521095240000001,0.85624,0.8903525
4348,2007-11-12,4.3401,5.35,0.8112,0.8517428570000001,0.8551700000000001,0.889185833
4349,2007-11-13,4.75,5.71,0.8319,0.8513809520000001,0.8548879999999999,0.888225833
4350,2007-11-14,4.67,5.43,0.86,0.852352381,0.855504,0.887353333
4351,2007-11-15,4.57,5.27,0.8672,0.853238095,0.8549100000000001,0.8865533329999999
4352,2007-11-16,4.4201,5.18,0.8533,0.85442381,0.853944,0.885829167
4353,2007-11-19,4.08,4.71,0.8662,0.8548,0.8530540000000001,0.8851775
4354,2007-11-20,3.8,4.57,0.8315,0.853804762,0.851872,0.884175
4355,2007-11-21,4.18,4.76,0.8782,0.8542333329999999,0.8515219999999999,0.883516667
4356,2007-11-23,4.27,4.97,0.8592,0.8541095240000001,0.8507540000000001,0.882735833
4357,2007-11-26,3.9,4.3,0.907,0.8557095240000001,0.8506379999999999,0.882305833
4358,2007-11-27,3.65,3.97,0.9194,0.8595142859999999,0.8507440000000001,0.881966667
4359,2007-11-28,4.05,4.53,0.894,0.861552381,0.851518,0.8813725
4360,2007-11-29,3.77,4.18,0.9019,0.8646952379999999,0.852564,0.8809375
4361,2007-11-30,3.32,4.0,0.83,0.8642857140000001,0.8522200000000001,0.879765833
4362,2007-12-03,3.2,3.4,0.9412,0.868766667,0.8540719999999999,0.879625833
4363,2007-12-04,3.15,3.29,0.9574,0.874738095,0.8563059999999999,0.879545833
4364,2007-12-05,3.06,3.28,0.9329,0.8783047620000001,0.8580479999999999,0.8792525
4365,2007-12-06,3.41,3.76,0.9069,0.8794190479999999,0.859358,0.878685
4366,2007-12-07,3.5,3.84,0.9115,0.880019048,0.86072,0.8784125
4367,2007-12-10,3.55,3.85,0.9221,0.883166667,0.8618040000000001,0.8781091670000001
4368,2007-12-11,3.1,3.9,0.7949,0.8799,0.8609180000000001,0.876953333
4369,2007-12-12,3.3,3.91,0.8440000000000001,0.881461905,0.86116,0.8758825000000001
4370,2007-12-13,3.33,4.0,0.8325,0.881490476,0.8607239999999999,0.874919167
4371,2007-12-14,3.455,4.0,0.8637,0.8816666670000001,0.86115,0.8743333329999999
4372,2007-12-17,3.3,3.93,0.8397,0.880357143,0.861398,0.873700833
4373,2007-12-18,3.8,4.37,0.8696,0.881133333,0.8623299999999999,0.873360833
4374,2007-12-19,3.85,4.57,0.8425,0.880004762,0.862562,0.8724924999999999
4375,2007-12-20,4.14,5.01,0.8263,0.879757143,0.862568,0.8716475
